Uniform,Gauss,SRFT,SRHT
0.0003466596617755157,0.0001264456507658408,8.590085972570094e-05,0.00024722222696003894
0.00039479492821614475,2.4682587814211692e-05,0.00041581975336408823,7.651337117819493e-05
3.590008988793845e-05,8.479772922807789e-05,3.99647289969408e-05,3.3553202479237474e-05
1.192129619154441e-05,1.3982613115200204e-05,5.435946368824119e-05,0.00011073740771900326
0.00014839945691416247,2.7123885542443262e-05,4.1308208144946535e-05,7.07347623084121e-05
6.382678945158895e-05,3.949207501176423e-05,5.9106329818174677e-05,0.00020363246522435874
3.796165956305671e-05,9.916159127075577e-06,1.3978554691345603e-05,1.92589940020619e-05
2.0321514904543872e-05,1.617228062716205e-05,1.5290259124089205e-05,2.2671096805087824e-05
1.195661111461401e-05,1.9828743886332697e-05,2.4613347288869754e-05,9.7236873161081e-06
3.237702578115432e-05,8.376163008019667e-06,1.6041217492716505e-05,1.0202817689974092e-05
