target_rank,p_val,q_val,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9
10,0,0,0:00:00.945110,0:00:00.939518,0:00:00.952280,0:00:00.934933,0:00:00.935089,0:00:00.935951,0:00:00.937015,0:00:00.935996,0:00:00.947646,0:00:00.936718,0.2130552355852073,0.24561990039477147,0.19785436618940744,0.18152755539779908,0.2187882474114697,0.16489722475427723,0.21136536380330723,0.14586050397331313,0.44677488292095074,0.21789133889477513
10,0,1,0:00:00.998195,0:00:00.992000,0:00:00.991841,0:00:00.994895,0:00:00.994008,0:00:00.981998,0:00:01.002239,0:00:00.994025,0:00:00.987603,0:00:00.986002,0.044496094469479545,0.045088508866334746,0.04214265484814522,0.048157514608965606,0.04611662999563584,0.04143545122706747,0.05329650926271358,0.04324054027182308,0.041522278142152674,0.041069123318581174
10,0,2,0:00:01.039000,0:00:01.050327,0:00:01.044640,0:00:01.057198,0:00:01.041410,0:00:01.049001,0:00:01.038000,0:00:01.062581,0:00:01.042541,0:00:01.066138,0.03766313473881401,0.040744726495457885,0.04023019977746326,0.03890440942039821,0.03987793500336126,0.040525334263055206,0.040314099482689734,0.04057373941576683,0.04019189314339889,0.038725653612528436
10,0,3,0:00:01.096906,0:00:01.093721,0:00:01.085152,0:00:01.089956,0:00:01.091078,0:00:01.091583,0:00:01.090968,0:00:01.089950,0:00:01.086270,0:00:01.087542,0.04008851697995507,0.03907510840919002,0.03940556577529609,0.036360904318424446,0.03246241827624613,0.03571690190144141,0.029931295128218103,0.030120588091559396,0.03983565947564938,0.0306009603611623
10,2,0,0:00:00.953244,0:00:00.951001,0:00:00.949000,0:00:00.952609,0:00:00.958001,0:00:00.952630,0:00:00.951703,0:00:00.956002,0:00:00.954544,0:00:00.931703,0.20072752713893824,0.1287071818993826,0.16233628813151943,0.16330202072541425,0.19108920754247757,0.19129724580646662,0.15519142953529963,0.16698163411786593,0.18038443639648227,0.15256079133389228
10,2,1,0:00:01.019001,0:00:01.020877,0:00:01.027463,0:00:01.027649,0:00:01.027637,0:00:01.026088,0:00:01.028666,0:00:01.028111,0:00:01.031835,0:00:01.035152,0.04127342771719636,0.04132494327208672,0.042698086753250604,0.04191863564745346,0.04104155212707562,0.041962165869839294,0.04101068055941939,0.07580006358986481,0.04200337770111376,0.0411224324546279
10,2,2,0:00:01.107000,0:00:01.104001,0:00:01.101543,0:00:01.096001,0:00:01.095001,0:00:01.100001,0:00:01.099538,0:00:01.103310,0:00:01.104000,0:00:01.106608,0.03767586587105774,0.038996664319876174,0.03972494739720302,0.0397627876912529,0.03987769323153181,0.03998897160270907,0.039970415014186085,0.03786020276043907,0.03902683407410008,0.03918926137887398
10,2,3,0:00:01.161622,0:00:01.171070,0:00:01.170960,0:00:01.164124,0:00:01.166950,0:00:01.174179,0:00:01.171614,0:00:01.160001,0:00:01.176999,0:00:01.163555,0.02988701000348728,0.02965813777190668,0.02979588186556199,0.030753150579480085,0.029790451814401844,0.033208533409500286,0.029975516718905887,0.03005015087698008,0.03452676546767002,0.029905873990740923
10,5,0,0:00:00.942621,0:00:00.969180,0:00:00.963001,0:00:00.959001,0:00:00.957209,0:00:00.963001,0:00:00.962547,0:00:00.965956,0:00:00.961992,0:00:00.960352,0.1539171687590833,0.1651449968568745,0.12562494162222848,0.13803682308994153,0.18004735421572987,0.16571307907353908,0.1625407626750311,0.157238356313027,0.1551508352198442,0.141585171467261
10,5,1,0:00:01.042001,0:00:01.045947,0:00:01.042030,0:00:01.042418,0:00:01.051999,0:00:01.044314,0:00:01.044002,0:00:01.036295,0:00:01.044622,0:00:01.040999,0.04057887003539819,0.041288833506403784,0.04138930462907244,0.04129315515396886,0.04070383319458639,0.04015582005436807,0.041401909024553374,0.040211393952456397,0.04045515135426187,0.04091975134910231
