target_rank,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
10,0:00:02.628949,0:00:02.656124,0:00:02.674047,0:00:02.648234,0:00:02.644324,0:00:02.663792,0:00:02.648410,0:00:02.646527,0:00:02.650904,0:00:02.638179
20,0:00:02.731451,0:00:02.703029,0:00:02.695820,0:00:02.672097,0:00:02.708312,0:00:02.735458,0:00:02.699166,0:00:02.694472,0:00:02.787337,0:00:02.725431
30,0:00:02.774414,0:00:02.768210,0:00:02.776522,0:00:02.777358,0:00:02.776270,0:00:02.795030,0:00:02.755353,0:00:02.758252,0:00:02.771582,0:00:02.773766
40,0:00:02.818921,0:00:02.802276,0:00:02.794612,0:00:02.803102,0:00:02.789234,0:00:02.816315,0:00:02.809952,0:00:02.846220,0:00:02.815991,0:00:02.789042
