target_rank,p_val,q_val,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9
20,2,0,0:00:01.152970,0:00:01.106578,0:00:01.107510,0:00:01.111565,0:00:01.101145,0:00:01.113706,0:00:01.105141,0:00:01.110760,0:00:01.137166,0:00:01.120863,0.001686844094487183,0.0034170551345629116,0.002034797751410106,0.0028578666864429764,0.0012323153407800807,0.0019484068815586995,0.001731313048302861,0.0014931335057623148,0.0021341468791452266,0.0023809611808069176
20,2,1,0:00:01.210156,0:00:01.214584,0:00:01.211662,0:00:01.221841,0:00:01.218448,0:00:01.214531,0:00:01.244150,0:00:01.226567,0:00:01.223138,0:00:01.162962,7.77251881108354e-05,7.865937792815888e-05,8.712815036327837e-05,7.420488233150367e-05,0.00014242556853442815,0.00021619076822147195,0.00028884158069326265,7.625674115496041e-05,7.445685672203432e-05,0.00013714958713389696
20,2,2,0:00:01.262572,0:00:01.268240,0:00:01.262791,0:00:01.278622,0:00:01.263000,0:00:01.295375,0:00:01.264713,0:00:01.284191,0:00:01.266351,0:00:01.275446,7.624214848390008e-05,7.719148104012294e-05,7.450216655761972e-05,7.431444027993372e-05,7.498543772943415e-05,7.408960342082497e-05,7.399821477853452e-05,7.418887497732691e-05,7.760533929454792e-05,7.367849391220838e-05
20,2,3,0:00:01.364978,0:00:01.372999,0:00:01.369001,0:00:01.372787,0:00:01.360008,0:00:01.375110,0:00:01.366999,0:00:01.373256,0:00:01.389185,0:00:01.374176,7.402986807509278e-05,7.484780825337708e-05,7.493759564977566e-05,7.443750365803919e-05,7.441021133800623e-05,7.413961343316679e-05,7.43952632832393e-05,7.460239505961854e-05,7.461624755655958e-05,7.433388863867086e-05
20,5,0,0:00:01.099221,0:00:01.111912,0:00:01.090206,0:00:01.086154,0:00:01.097000,0:00:01.086685,0:00:01.092397,0:00:01.139588,0:00:01.108133,0:00:01.106537,0.0006791218220133718,0.0006429979239128215,0.0009862440106878012,0.0006655594881583559,0.0004835929231376704,0.0016698630253219632,0.0006994826447389881,0.0004515188697521213,0.0006411771341866909,0.0007605769308539714
20,5,1,0:00:01.259013,0:00:01.244007,0:00:01.245000,0:00:01.234351,0:00:01.240129,0:00:01.250262,0:00:01.253000,0:00:01.302997,0:00:01.291071,0:00:01.287637,7.530225854620221e-05,7.541642447309694e-05,7.538702001080978e-05,7.544020513569268e-05,7.544944441039132e-05,7.548854675294348e-05,7.524586253642948e-05,7.546617913969738e-05,7.545414585897275e-05,7.552196041452652e-05
20,5,2,0:00:01.460008,0:00:01.473998,0:00:01.451822,0:00:01.455311,0:00:01.463054,0:00:01.449976,0:00:01.434130,0:00:01.457674,0:00:01.432430,0:00:01.448531,7.543710038675242e-05,7.543017209644854e-05,7.546169211506295e-05,7.54409645772098e-05,7.543146981262602e-05,7.539178954615599e-05,7.544775023489016e-05,7.543084489105594e-05,7.545937046094797e-05,7.523029719234643e-05
20,5,3,0:00:01.601143,0:00:01.605982,0:00:01.611432,0:00:01.597094,0:00:01.585543,0:00:01.605628,0:00:01.609999,0:00:01.603187,0:00:01.607124,0:00:01.618933,7.544093659359888e-05,7.543438517413241e-05,7.543968045845584e-05,7.543803840280793e-05,7.545167508889985e-05,7.545719108019867e-05,7.538615948553108e-05,7.543968894335261e-05,7.543967849146033e-05,7.54349047288481e-05
20,8,0,0:00:01.155118,0:00:01.165622,0:00:01.163537,0:00:01.163297,0:00:01.179665,0:00:01.157142,0:00:01.160053,0:00:01.166095,0:00:01.164919,0:00:01.162992,0.00039773776104475413,0.0001756251555186138,0.00030692353676399557,0.00015650939574339654,0.00019550414192359266,0.0007352146638412849,0.00017802178781671187,0.0004032056744459377,0.0002904001711254639,0.00020504359388036114
20,8,1,0:00:01.323498,0:00:01.330303,0:00:01.351535,0:00:01.327328,0:00:01.331440,0:00:01.342644,0:00:01.335236,0:00:01.340398,0:00:01.349186,0:00:01.326599,7.552863955251274e-05,7.552611547287156e-05,7.552462279434956e-05,7.550369932145228e-05,7.551934139991959e-05,7.55239333500274e-05,7.552007205859915e-05,7.552791469082029e-05,7.551701585923114e-05,7.5530159633061e-05
